,MovieName,Star1,Star2,Star3,Star4,Genre1,Genre2,Genre3,Gross_Collection,Certification,votes
101,Tae Guk Gi: The Brotherhood of War, Jang Dong-Gun, Won Bin, Eun-ju Lee, Hyeong-jin Kong,Action, Drama, War,1.11,R ,"40,351"
102,Karthikeya 2, Nikhil Siddharth, Anupama Parameswaran, Srinivasa Reddy, Harsha Chemudu,Action, Adventure, Fantasy,Nan,UA ,"63,147"
103,The Breath, Mete Horozoglu, Ilker Kizmaz, Baris Bagci, Özgür Eren Koç,Action, Drama, Thriller,Nan,Nan,"34,370"
104,Arjun Reddy, Vijay Deverakonda, Shalini Pandey, Jia Sharma, Kanchana,Action, Drama, Romance,Nan,Not Rated ,"26,270"
105,1: Nenokkadine, Mahesh Babu, Kriti Sanon, Nassar, Pradeep Singh Rawat,Action, Thriller,Nan,Nan,Not Rated ,"45,876"
106,Avatar, Sam Worthington, Zoe Saldana, Sigourney Weaver, Michelle Rodriguez,Action, Adventure, Fantasy,760.51,PG-13 ,"1,341,228"
107,Iron Man, Robert Downey Jr., Gwyneth Paltrow, Terrence Howard, Jeff Bridges,Action, Adventure, Sci-Fi,318.41,PG-13 ,"1,081,256"
108,Star Trek, Chris Pine, Zachary Quinto, Simon Pegg, Leonard Nimoy,Action, Adventure, Sci-Fi,257.73,PG-13 ,"610,081"
109,Thor: Ragnarok, Chris Hemsworth, Tom Hiddleston, Cate Blanchett, Mark Ruffalo,Action, Adventure, Comedy,315.06,PG-13 ,"774,813"
110,Edge of Tomorrow, Tom Cruise, Emily Blunt, Bill Paxton, Brendan Gleeson,Action, Adventure, Sci-Fi,100.21,PG-13 ,"698,437"
111,Children of Men, Julianne Moore, Clive Owen, Chiwetel Ejiofor, Michael Caine,Action, Drama, Sci-Fi,35.55,R ,"511,283"
112,X-Men: Days of Future Past, Patrick Stewart, Ian McKellen, Hugh Jackman, James McAvoy,Action, Adventure, Sci-Fi,233.92,PG-13 ,"724,537"
113,The Bourne Identity, Franka Potente, Matt Damon, Chris Cooper, Clive Owen,Action, Mystery, Thriller,121.66,PG-13 ,"558,385"
114,District 9, Sharlto Copley, David James, Jason Cope, Nathalie Boltt,Action, Sci-Fi, Thriller,115.65,R ,"694,447"
115,The Blues Brothers, John Belushi, Dan Aykroyd, Cab Calloway, John Candy,Action, Adventure, Comedy,57.23,R ,"205,693"
116,The Adventures of Robin Hood, Errol Flynn, Olivia de Havilland, Basil Rathbone, Claude Rains,Action, Adventure, Romance,3.98,PG ,"52,775"
117,"Crouching Tiger, Hidden Dragon", Chow Yun-Fat, Michelle Yeoh, Ziyi Zhang, Chang Chen,Action, Adventure, Drama,128.08,PG-13 ,"275,495"
118,Ghost in the Shell, Atsuko Tanaka, Iemasa Kayumi, Akio Ôtsuka, Kôichi Yamadera,Animation, Action, Crime,0.52,TV-MA ,"148,246"
119,A Fistful of Dollars, Clint Eastwood, Gian Maria Volontè, Marianne Koch, Wolfgang Lukschy,Action, Drama, Western,14.50,R ,"223,216"
120,The Wild Bunch, William Holden, Ernest Borgnine, Robert Ryan, Edmond O'Brien,Action, Adventure, Drama,12.06,R ,"87,318"
121,The Raid 2, Iko Uwais, Yayan Ruhian, Arifin Putra, Oka Antara,Action, Crime, Thriller,2.63,R ,"126,961"
122,Hero, Jet Li, Tony Leung Chiu-wai, Maggie Cheung, Ziyi Zhang,Action, Adventure, Drama,53.71,PG-13 ,"184,344"
